1368	"G :Della Porta;clet,14,329-336;1981"
1371	"W H :Hansen;fctx,11,527-534;1973"
1372	"M G :Allmark;jphp,9,622-628;1957"
1373	"M F :Argus;zkko,75,201-208;1971"
1374m	"W :Lijinsky;fctx,20,393-399;1982"
1374n	"W :Lijinsky;fctx,20,393-399;1982"
1375m	"W :Lijinsky;eaes,6,513-527;1982/pers.comm."
1375n	"W :Lijinsky;eaes,6,513-527;1982/pers.comm."
1375o	"W :Lijinsky;eaes,6,513-527;1982/pers.comm."
1376m	"W :Lijinsky;jnci,69,1127-1133;1982/pers.comm."
1376n	"W :Lijinsky;jnci,69,1127-1133;1982/pers.comm."
1376o	"W :Lijinsky;jnci,69,1127-1133;1982/pers.comm."
1378	"K :Hiraga;fctx,19,303-310;1981"
1379	"E F :Stula;jept,1,475-490;1978"
1381m	"A :Ito;gann,72,174-175;1981/1981a/pers.comm."
1383	"D :Dunnington;fctx,19,691-699;1981"
1385	"K :Christov;zkko,77,171-179;1972"
1388	"H :Oda;envr,22,254-263;1980"
1389	"R :Truhaut;txcy,22,219-221;1981"
139	"S L :Graham;fctx,13,493-499;1975"
1390	"S M :Cohen;jnci,57,277-282;1976"
1391	"T :Tanaka;eaes,3,451-453;1979"
1392	"A M :Pamukcu;canr,40,3468-3472;1980"
1393	"P M :Pour;clet,13,303-308;1981"
1395	"H A :Schroeder;jnut,105,452-458;1975"
1396	"I :Hirono;jnci,63,469-472;1979"
1397	"D :Schmahl;zkko,91,19-22;1978"
1398	"D L :Arnold;txap,52,113-152;1980"
1399	"R :Kroes;fctx,12,671-679;1974"
1400	"C :Agthe;pseb,134,113-116;1970"
1401	"B A :Schwetz;pcpl,,301-309;1978"
1403	"J L :Schardein;txap,16,10-23;1970"
1404	"J C :Phillips;fctx,17,23-27;1979"
1409	"W :Lijinsky;eaes,2,413-419;1978"
1411	"S :Swaminathan;canr,41,2648-2653;1981"
1412	"D D :Beal;jnci,54,951-957;1975"
1414m	"W E :Dalbey;txcy,24,9-14;1982"
1414n	"W E :Dalbey;txcy,24,9-14;1982"
1415	"V :Armuth;bjca,34,516-522;1976"
1416	"D :Schmahl;arzn,23,1466-1470;1973"
1417	"M :Wiessler;zkko,79,114-117;1973"
1418	"M :Wiessler;zkko,79,118-122;1973"
1419	"D :Schmahl;arzn,19,1313-1314;1969"
142	"H :Shimizu;ijcn,13,500-505;1974"
1420	"C :Hackmann;zkko,61,45-54;1956"
1421	"H :Druckrey;fctx,6,147-154;1968"
1422	"O :Ungerer;zkko,81,217-224;1974"
1423	"C Y :Wang;carc,3,275-277;1982"
1424	"E C :Miller;jnci,15,1571-1590;1955"
1425	"G N :Pershin;vopr,XVIII,50-53;1972"
1426	"M M :Andrianova;vpit,29,71-74;1970"
1427	"M M :Baigusheva;vpit,27,46-50;1968"
1429	"M M :Andrianova;vpit,29,61-65;1970"
142a	"A :Flaks;bjca,31,585-587;1975"
142b	"A :Flaks;jnci,51,2007-2008;1973"
142c	"A :Flaks;bjca,28,227-231;1973"
143	"W H :Hansen;fctx,4,389-410;1966"
1430	"S :Fukushima;canr,41,3100-3103;1981"
1431	"G N :Schrauzer;carc,1,199-201;1980"
1431m	"G N :Schrauzer;carc,1,199-201;1980"
1432	"S :Hosaka;gann,71,913-917;1980"
1433	"J :Hooson;bjca,42,129-147;1980"
1434	"S :Takayama;gann,60,353;1969"
1438	"B :Toth;carc,2,651-654;1981"
1439	"J K :Reddy;canr,36,151-160;1976"
144	"H P :Morris;jnci,24,149-180;1960"
1440	"M J :Radike;enhp,41,59-62;1981"
1441	"J :Fitzgerald;jtxe,10,879-896;1982"
1443	"F W :Kruger;zkko,75,253-254;1971"
1444	"T B :Griffin;eaes,5,194-201;1981"
1444m	"T B :Griffin;eaes,5,194-201;1981"
1444n	"T B :Griffin;eaes,5,194-201;1981"
1445	"M S :Martin;bjca,43,884-886;1981"
1446	"M :Yoshida;gann,70,645-652;1979"
1447	"M :Wood;ejca,6,433-440;1970"
1448	"E :Uchida;zkko,100,231-238;1981"
1449	"S :Johansson;apms,84,375-383;1976"
1450	"F :Homburger;ctxf,,359-373;1978"
1453	"G H :Barrows;jtxe,3,219-230;1977"
1453m	"G H :Barrows;jtxe,3,219-230;1977"
1453n	"G H :Barrows;jtxe,3,219-230;1977"
1454	"P M :Newberne;jnci,50,439-448;1973"
1455	"G N :Wogan;canr,31,1936-1942;1971"
1456	"H A :Schroeder;jnut,105,421-427;1975"
1457	"G R :Cameron;bmjl,2,819-821;1951"
1458	"B L :Oser;txcy,6,47-65;1976"
1459	"S L :Johansson;ijcn,27,521-529;1981"
1460	"A :Hagiwara;txlt,6,71-75;1980"
1463	"G :Rudali;gmcr,17,243-252;1975"
1464	"H A :Schroeder;jnut,104,239-243;1974"
1465	"R M :Hicks;carm,2,475-489;1978"
1465m	"R M :Hicks;carm,2,475-489;1978"
1466	"T J :Benya;txap,64,367-379;1982"
1467	"R :Preussmann;zkko,81,285-310;1974"
1468	"B :Highman;jept,4,81-95;1980/pers.comm."
1468m	"B :Highman;jept,4,81-95;1980/pers.comm."
1468n	"B :Highman;jept,4,81-95;1980/pers.comm."
1468o	"B :Highman;jept,4,81-95;1980/pers.comm."
1468r	"B :Highman;jept,4,81-95;1980/pers.comm."
1468s	"B :Highman;jept,4,81-95;1980/pers.comm."
1468t	"B :Highman;jept,4,81-95;1980/pers.comm."
1468u	"B :Highman;jept,4,81-95;1980/pers.comm."
1469m	"E K :Weisburger;enhp,21,7-16;1977/National Cancer Institute 1976"
1469n	"E K :Weisburger;enhp,21,7-16;1977/National Cancer Institute 1976"
1470	"G M :Conzelman;jnci,42,825-831;1969"
